m_id,sum,count
1,1686,215
2,755,110
3,339,52
4,33,7
5,301,49
6,805,102
7,344,54
8,46,8
9,100,16
10,923,132
11,514,70
12,92,19
13,50,8
14,138,18
15,78,13
16,644,82
17,506,67
18,148,20
19,480,88
20,75,15
21,622,89
22,232,36
23,100,16
24,175,28
25,551,76
26,91,13
27,60,9
28,93,11
29,242,38
30,1410,177
31,935,128
32,514,67
33,17,4
34,685,104
35,17,2
36,111,15
37,42,7
38,51,8
39,234,46
40,212,32
41,92,15
42,1614,203
43,428,68
44,6,1
45,1729,204
46,194,28
47,20,2
48,14,3
49,8,1
50,49,8
51,298,37
52,220,34
53,45,6
54,22,5
55,157,31
56,45,9
57,34,5
58,151,20
59,386,55
60,17,5
61,45,7
62,90,13
63,64,8
64,22,5
65,102,15
66,8,1
67,20,3
68,94,17
69,16,2
70,6,1
71,54,7
72,119,15
73,35,7
74,101,16
75,65,10
76,42,8
77,51,9
78,79,10
79,508,84
80,7,1
81,78,10
82,20,2
83,78,14
84,174,23
85,24,5
86,18,3
87,681,99
88,151,23
89,8,1
90,173,26
91,8,1
92,1911,237
93,854,104
94,326,46
95,20,3
96,39,5
97,10,2
98,12,2
99,16,2
100,85,16
101,35,4
102,86,12
103,28,7
104,4,1
105,34,6
106,183,31
107,6,1
108,112,16
109,601,86
110,80,12
111,331,51
112,20,3
113,104,15
114,10,1
115,4,1
116,1546,201
117,312,44
118,6,2
119,799,137
120,93,12
121,29,6
122,20,3
123,63,11
124,348,62
125,81,14
126,328,57
127,749,103
128,143,17
129,470,66
130,93,14
131,1024,144
132,17,3
133,333,54
134,48,10
135,226,35
136,46,6
137,284,53
138,331,62
139,54,10
140,159,20
141,112,13
142,44,8
143,2,1
144,6,2
145,245,36
146,77,17
147,14,2
148,14,2
149,681,112
150,271,48
151,33,4
152,83,12
153,6,1
154,28,5
155,29,6
156,173,35
157,132,18
158,62,10
159,240,45
160,182,28
161,6,1
162,6,1
163,163,30
164,57,9
165,12,2
166,144,21
167,670,115
168,24,4
169,14,2
170,18,3
171,46,6
172,16,2
173,194,24
174,326,49
175,28,6
176,96,14
177,6,1
178,6,1
179,120,16
180,802,104
181,289,40
182,368,52
183,126,22
184,14,3
185,48,7
186,163,24
187,814,133
188,109,14
189,84,12
190,88,17
191,515,70
192,313,45
193,147,22
194,16,2
195,102,17
196,19,4
197,8,1
198,36,5
199,6,1
200,249,29
201,165,21
202,108,17
203,134,18
204,30,6
205,18,3
206,297,43
207,6,1
208,29,7
209,198,35
210,98,14
211,32,5
212,2124,251
213,326,42
214,164,21
215,8,1
216,462,68
217,100,17
218,12,2
219,34,5
220,28,4
221,233,31
222,41,7
223,24,6
224,143,22
225,245,38
226,6,2
227,12,2
228,106,13
229,267,40
230,22,3
231,9,1
232,8,1
233,6,1
234,595,92
235,57,8
236,113,14
237,14,3
238,692,101
239,12,2
240,2577,307
241,4,1
242,32,4
243,570,81
244,8,1
245,32,5
246,189,32
247,22,3
248,51,9
249,135,16
250,187,24
251,161,20
252,6,1
253,6,1
254,26,9
255,20,3
256,120,16
257,234,38
258,945,140
259,519,81
260,2808,317
261,144,20
262,6,1
263,71,10
264,8,1
265,24,3
266,192,34
267,63,10
268,733,108
269,36,6
270,12,2
271,68,12
272,378,50
273,42,5
274,14,2
275,6,1
276,108,19
277,680,98
278,34,5
279,16,2
280,29,5
281,979,161
282,42,6
283,42,6
284,215,30
285,793,110
286,386,57
287,108,17
288,10,2
289,462,64
290,40,6
291,198,42
292,2740,329
293,725,103
294,48,9
295,6,1
296,43,8
297,104,17
298,240,34
299,1356,172
300,26,4
301,1000,157
302,518,74
303,16,2
304,355,58
305,139,21
306,116,21
307,80,11
308,110,25
309,260,40
310,1207,171
311,39,7
312,105,21
313,1245,178
314,84,11
315,101,16
316,130,21
317,13,2
318,8,1
319,6,1
320,19,4
321,12,2
322,18,2
323,37,5
324,50,10
325,6,1
326,55,8
327,12,2
328,4,1
329,521,84
330,105,15
331,145,26
332,28,6
333,81,16
334,40,8
335,96,13
336,12,2
337,107,20
338,321,59
339,77,12
340,32,5
341,57,10
342,11,3
343,15,2
344,44,7
345,61,12
346,134,18
347,24,6
348,15,2
349,44,8
350,613,101
351,305,63
352,36,7
353,39,9
354,38,7
355,539,76
356,330,42
357,501,81
358,28,6
359,72,12
360,69,9
361,58,8
362,2,1
363,42,7
364,8,1
365,28,5
366,714,101
367,177,37
368,30,4
369,1517,190
370,28,5
371,27,6
372,16,3
373,22,4
374,58,10
375,344,60
376,10,1
377,34,5
378,2,1
379,284,40
380,26,7
381,517,70
382,215,25
383,2,1
384,5,1
385,18,4
386,1785,238
387,120,19
388,58,8
389,12,2
390,311,53
391,18,3
392,20,4
393,6,1
394,63,11
395,72,12
396,112,17
397,105,14
398,88,12
399,277,41
400,10,1
401,10,1
402,328,43
403,10,2
404,976,144
405,44,6
406,71,15
407,12,2
408,31,7
409,18,2
410,88,13
411,477,66
412,432,61
413,6,1
414,12,2
415,24,4
416,27,4
417,123,18
418,173,24
419,110,18
420,59,9
421,19,4
422,101,21
423,432,69
424,19,3
425,46,7
426,28,4
427,237,34
428,8,1
429,14,3
430,310,40
431,156,24
432,96,16
433,104,18
434,101,14
435,98,15
436,20,3
437,76,12
438,86,12
439,736,106
440,96,18
441,1017,124
442,78,14
443,272,41
444,39,8
445,84,21
446,13,2
447,33,6
448,18,2
449,34,5
450,661,93
451,398,61
452,496,65
453,494,65
454,40,6
455,47,8
456,163,23
457,8,1
458,6,2
459,12,3
460,14,2
461,32,6
462,26,4
463,85,16
464,17,4
465,6,1
466,28,5
467,32,4
468,8,1
469,197,36
470,695,116
471,790,115
472,1388,183
473,1779,224
474,1258,164
475,1296,189
476,2322,279
477,557,77
478,1101,146
479,414,60
480,941,135
481,84,11
482,8,1
483,8,1
484,60,10
485,24,4
486,1490,181
487,100,14
488,234,33
489,29,6
490,30,6
491,51,8
492,6,1
493,307,45
494,6,1
495,26,5
496,10,1
497,40,6
498,255,35
499,70,11
500,8,1
501,10,1
502,18,4
503,12,2
504,6,1
505,201,33
506,6,1
507,24,4
508,59,11
509,14,2
510,193,29
511,1146,162
512,6,1
513,24,4
514,402,65
515,30,5
516,338,49
517,46,7
518,79,12
519,26,3
520,17,2
521,19,2
522,251,36
523,287,53
524,57,9
525,69,9
526,8,1
527,42,9
528,20,3
529,16,4
530,65,11
531,16,2
532,27,5
533,2,1
534,45,7
535,8,2
536,36,7
537,6,1
538,121,21
539,393,58
540,68,11
541,41,8
542,61,10
543,119,15
544,33,4
545,199,35
546,8,1
547,188,31
548,25,5
549,6,1
550,70,10
551,881,121
552,55,7
553,817,123
554,106,20
555,224,27
556,62,11
557,146,29
558,374,48
559,20,3
560,137,22
561,8,1
562,14,2
563,17,2
564,106,19
565,198,41
566,14,2
567,120,19
568,28,4
569,7,1
570,6,1
571,824,102
572,1392,202
573,49,7
574,48,8
575,313,47
576,303,54
577,283,42
578,398,64
579,448,82
580,14,2
581,65,12
582,159,23
583,158,19
584,69,11
585,307,46
586,8,1
587,256,35
588,3,1
589,14,2
590,42,9
591,54,12
592,28,5
593,65,10
594,7,1
595,8,1
596,40,6
597,129,21
598,247,37
599,24,6
600,22,3
601,98,17
602,216,33
603,235,30
604,85,15
605,27,4
606,12,2
607,46,7
608,257,44
609,34,6
610,273,43
611,1647,192
612,184,23
613,7,2
614,22,3
615,7,1
616,10,1
617,24,4
618,148,27
619,21,5
620,4,1
621,10,2
622,32,6
623,8,1
624,92,13
625,22,3
626,10,2
627,15,2
628,250,29
629,89,12
630,42,7
631,483,60
632,716,84
633,121,14
634,58,7
635,14,2
636,477,57
637,214,27
638,401,50
639,99,13
640,848,100
641,367,44
642,283,35
643,226,30
644,211,26
645,14,2
646,82,10
647,714,92
648,328,45
649,61,9
650,234,27
651,558,69
652,849,109
653,203,24
654,24,3
655,150,18
656,7,1
657,170,20
658,69,9
659,63,8
660,194,23
661,78,12
662,23,3
663,48,6
664,14,2
665,39,6
666,64,8
667,15,2
668,52,6
669,55,7
670,24,3
671,57,7
672,15,3
673,30,4
674,47,6
675,47,6
676,54,7
677,123,14
678,87,12
679,147,18
680,139,18
681,8,1
682,7,1
683,8,1
684,6,1
685,89,11
686,210,28
687,270,34
688,7,1
689,82,10
690,39,5
691,6,1
692,6,1
693,12,2
694,6,1
695,14,2
696,92,13
697,6,1
698,12,2
699,29,5
700,73,11
701,6,1
702,92,11
703,65,13
704,18,3
705,73,12
706,15,3
707,36,6
708,35,8
709,35,5
710,52,10
711,6,1
712,55,9
713,55,9
714,47,8
715,62,9
716,77,12
717,29,5
718,118,20
719,29,5
720,70,10
721,29,6
722,118,17
723,228,37
724,126,27
725,293,42
726,94,13
727,44,6
728,179,25
729,169,28
730,552,71
731,237,35
732,167,24
733,270,40
734,143,20
735,31,5
736,504,64
737,1120,145
738,133,24
739,6,1
740,101,11
741,275,42
742,24,5
743,36,4
744,219,33
745,146,21
746,39,5
747,24,3
748,6,1
749,4,1
750,6,2
751,43,7
752,104,15
753,266,36
754,213,29
755,82,13
756,36,4
757,7,1
758,922,119
759,0,0
760,210,28
761,75,11
762,557,71
763,85,12
764,43,6
765,40,6
766,285,35
767,14,2
768,205,25
769,283,42
770,1101,131
771,502,63
772,300,47
773,252,37
774,289,42
775,110,15
776,919,122
777,27,4
778,103,19
779,548,83
780,123,15
781,179,20
782,28,3
783,8,2
784,18,2
785,6,1
786,8,1
787,7,1
788,6,1
789,191,27
790,8,1
791,17,2
792,95,13
793,177,24
794,34,6
795,431,62
796,25,5
797,269,39
798,29,5
799,90,11
800,65,8
801,81,13
802,1132,136
803,8,1
804,10,1
805,8,1
806,78,10
807,452,56
808,20,2
809,22,3
810,6,1
811,2,1
812,14,2
813,10,2
814,114,17
815,283,34
816,69,11
817,161,21
818,48,6
819,109,12
820,196,27
821,6,1
822,334,45
823,55,7
824,79,10
825,165,23
826,36,5
827,161,22
828,88,11
829,38,6
830,42,6
831,45,5
832,1202,142
833,493,59
834,999,126
835,54,7
836,473,57
837,387,45
838,959,120
839,478,58
840,903,107
841,1622,196
842,101,13
843,203,24
844,1071,126
845,1159,146
846,412,51
847,76,11
848,133,15
849,88,11
850,670,83
851,640,84
852,1099,129
853,836,102
854,229,28
855,152,19
856,636,76
857,42,6
858,130,16
859,335,40
860,449,58
861,170,22
862,58,8
863,337,40
864,509,64
865,223,26
866,26,3
867,152,18
868,73,9
869,1021,131
870,81,10
871,342,41
872,127,16
873,271,33
874,681,86
875,642,79
876,145,17
877,285,35
878,371,45
879,114,14
880,497,59
881,191,25
882,117,16
883,36,6
884,175,23
885,199,27
886,890,109
887,729,91
888,112,15
889,275,34
890,355,43
891,329,43
892,38,5
893,1128,143
894,370,45
895,255,30
896,65,9
897,225,29
898,1381,171
899,210,30
900,272,33
901,89,11
902,292,39
903,358,48
904,487,57
905,99,12
906,551,69
907,66,8
908,124,15
909,401,53
910,160,19
911,116,14
912,306,41
913,43,7
914,268,34
915,530,66
916,67,10
917,1133,140
918,158,20
919,207,27
920,71,11
921,126,17
922,147,20
923,173,23
924,225,28
925,75,9
926,99,13
927,394,56
928,137,17
929,489,62
930,28,4
931,656,85
932,10,1
933,10,2
934,4,1
935,296,47
936,157,23
937,10,3
938,7,3
939,5,2
940,9,4
941,79,15
942,3,2
943,4,1
944,22,3
945,317,44
946,36,6
947,2,1
948,2,1
949,9,1
950,15,2
951,55,11
952,189,25
953,111,14
954,241,36
955,45,8
956,162,27
957,168,22
958,14,3
959,9,2
960,27,4
961,57,7
962,12,3
963,706,91
964,192,24
965,361,47
966,103,18
967,43,6
968,39,5
969,289,47
970,463,68
971,274,45
972,281,42
973,160,30
974,467,62
975,274,42
976,299,43
977,363,60
978,155,25
979,66,11
980,427,68
981,79,19
982,15,4
983,137,24
984,729,91
985,89,17
986,17,6
987,48,9
988,532,86
989,33,4
990,611,85
991,463,58
992,30,5
993,320,46
994,16,2
995,5,1
996,20,3
997,182,31
998,18,2
999,448,70
1000,299,39
1001,115,23
1002,128,16
1003,17,2
1004,48,8
1005,10,2
1006,82,12
1007,13,2
1008,17,2
1009,22,4
1010,8,1
1011,48,8
1012,2,1
1013,2,1
1014,12,2
1015,18,3
1016,79,16
1017,38,7
1018,17,2
1019,13,3
1020,6,2
1021,132,19
1022,35,5
1023,62,7
1024,186,24
1025,11,3
1026,45,6
1027,4,1
1028,74,12
1029,8,1
1030,64,12
1031,13,2
1032,111,17
1033,20,3
1034,389,52
1035,26,5
1036,8,1
1037,47,11
1038,8,1
1039,184,26
1040,8,1
1041,193,30
1042,68,11
1043,22,3
1044,449,74
1045,30,5
1046,6,2
1047,7,1
1048,8,2
1049,8,1
1050,24,3
1051,30,5
1052,104,27
1053,426,59
1054,10,2
1055,24,4
1056,7,1
1057,6,1
1058,63,15
1059,6,1
1060,707,100
1061,87,13
1062,2,1
1063,869,116
1064,20,3
1065,18,2
1066,99,13
1067,54,10
1068,52,7
1069,369,67
1070,18,2
1071,7,1
1072,13,2
1073,8,1
1074,18,4
1075,13,3
1076,358,59
1077,24,5
1078,61,19
1079,186,42
1080,8,1
1081,214,31
1082,12,2
1083,519,77
1084,2,1
1085,1151,165
1086,13,3
1087,26,5
1088,12,2
1089,599,82
1090,6,1
1091,123,22
1092,202,31
1093,123,20
1094,105,16
1095,147,25
1096,137,26
1097,19,4
1098,34,6
1099,49,6
1100,26,3
1101,253,43
1102,20,4
1103,14,3
1104,14,3
1105,14,4
1106,64,13
1107,20,3
1108,22,4
1109,14,3
1110,388,58
1111,16,3
1112,697,90
1113,41,5
1114,12,2
1115,8,1
1116,145,26
1117,66,11
1118,121,20
1119,788,97
1120,96,14
1121,81,13
1122,13,2
1123,9,2
1124,7,2
1125,570,77
1126,16,3
1127,47,7
1128,20,3
1129,10,1
1130,132,17
1131,372,52
1132,421,56
1133,7,2
1134,38,5
1135,135,32
1136,30,7
1137,15,3
1138,28,4
1139,15,3
1140,15,2
1141,9,1
1142,680,86
1143,7,1
1144,8,1
1145,8,1
1146,49,8
1147,8,1
1148,6,1
1149,12,2
1150,258,34
1151,95,16
1152,21,5
1153,18,3
1154,6,1
1155,81,12
1156,318,39
1157,292,40
1158,7,1
1159,533,80
1160,4,1
1161,70,10
1162,4,1
1163,180,25
1164,27,7
1165,953,125
1166,53,6
1167,28,4
1168,6,1
1169,22,3
1170,116,18
1171,134,20
1172,31,7
1173,263,45
1174,133,19
1175,42,7
1176,16,2
1177,14,2
1178,16,2
1179,62,8
1180,96,16
1181,29,5
1182,1150,141
1183,30,8
1184,149,24
1185,43,7
1186,181,31
1187,13,2
1188,136,16
1189,956,140
1190,276,45
1191,70,13
1192,30,4
1193,355,48
1194,26,4
1195,14,4
1196,832,106
1197,36,4
1198,73,9
1199,73,11
1200,8,1
1201,4,1
1202,207,31
1203,367,48
1204,20,4
1205,115,16
1206,105,15
1207,41,5
1208,4,1
1209,27,10
1210,23,5
1211,12,2
1212,82,14
1213,10,2
1214,8,1
1215,65,12
1216,383,56
1217,127,23
1218,28,5
1219,710,96
1220,39,5
1221,14,3
1222,139,23
1223,16,2
1224,6,1
1225,51,6
1226,8,2
1227,89,13
1228,175,25
1229,18,3
1230,187,31
1231,37,8
1232,6,1
1233,48,6
1234,77,11
1235,22,3
1236,12,3
1237,32,6
1238,2,1
1239,7,1
1240,20,3
1241,13,2
1242,142,29
1243,78,13
1244,88,11
1245,115,17
1246,27,3
1247,18,4
1248,6,1
1249,45,7
1250,6,1
1251,31,4
1252,119,15
1253,73,12
1254,24,3
1255,7,1
1256,41,8
1257,21,4
1258,35,9
1259,34,7
1260,41,7
1261,4,1
1262,6,1
1263,75,10
1264,47,6
1265,264,43
1266,8,2
1267,129,33
1268,157,24
1269,365,46
1270,75,12
1271,8,2
1272,16,3
1273,60,8
1274,4,1
1275,105,16
1276,9,1
1277,91,16
1278,14,2
1279,8,1
1280,8,1
1281,20,3
1282,10,2
1283,321,45
1284,289,42
1285,8,2
1286,167,32
1287,247,32
1288,24,3
1289,61,9
1290,562,92
1291,188,33
1292,25,5
1293,102,18
1294,362,47
1295,14,2
1296,51,8
1297,6,1
1298,87,10
1299,7,1
1300,16,2
1301,50,6
1302,7,1
1303,6,1
1304,24,3
1305,13,2
1306,24,3
1307,65,8
1308,14,2
1309,87,11
1310,201,24
1311,23,3
1312,245,34
1313,51,7
1314,52,6
1315,92,11
1316,50,7
1317,174,22
1318,302,39
1319,490,64
1320,109,14
1321,96,12
1322,105,13
1323,167,22
1324,110,15
1325,192,26
1326,731,96
1327,172,23
1328,74,11
1329,49,6
1330,142,21
1331,58,8
1332,321,42
1333,854,113
1334,92,16
1335,35,7
1336,31,7
1337,31,6
1338,10,2
1339,26,4
1340,4,1
1341,201,27
1342,24,5
1343,13,3
1344,4,1
1345,6,2
1346,10,2
1347,8,1
1348,322,47
1349,20,6
1350,15,4
1351,403,53
1352,12,4
1353,16,4
1354,551,75
1355,299,47
1356,270,46
1357,277,41
1358,100,15
1359,407,57
1360,372,60
1361,14,2
1362,6,1
1363,132,19
1364,162,21
1365,610,87
1366,593,88
1367,130,21
1368,42,8
1369,61,9
1370,23,4
1371,31,5
1372,256,38
1373,402,48
1374,200,25
1375,254,37
1376,59,8
1377,302,45
1378,20,3
1379,55,7
1380,12,3
1381,1559,188
1382,4,1
1383,60,8
1384,47,9
1385,27,6
1386,8,1
1387,14,3
1388,40,7
1389,20,3
1390,31,6
1391,10,2
1392,154,24
1393,57,8
1394,23,4
1395,14,3
1396,127,23
1397,82,20
1398,375,68
1399,6,1
1400,6,1
1401,27,4
1402,201,30
1403,90,15
1404,86,14
1405,238,31
1406,97,13
1407,33,4
1408,174,21
1409,11,2
1410,17,2
1411,34,5
1412,13,2
1413,36,5
1414,22,3
1415,10,1
1416,363,46
1417,34,5
1418,406,53
1419,374,55
1420,459,67
1421,138,26
1422,142,19
1423,27,5
1424,293,41
1425,90,18
1426,70,10
1427,83,13
1428,18,4
1429,29,6
1430,36,6
1431,254,39
1432,17,3
1433,150,22
1434,58,10
1435,10,2
1436,41,6
1437,318,51
1438,14,3
1439,15,3
1440,8,1
1441,334,50
1442,37,5
1443,167,24
1444,182,27
1445,65,10
1446,51,8
1447,119,16
1448,786,108
1449,94,15
1450,104,14
1451,112,15
1452,8,3
1453,16,4
1454,31,7
1455,54,11
1456,81,15
1457,250,38
1458,152,21
1459,83,15
1460,59,8
1461,37,4
1462,133,20
1463,137,22
1464,83,11
1465,69,14
1466,81,10
1467,146,21
1468,241,34
1469,114,18
1470,54,10
1471,80,13
1472,353,49
1473,214,33
1474,16,3
1475,55,9
1476,14,4
1477,218,28
1478,45,6
1479,12,3
1480,51,11
1481,7,2
1482,58,8
1483,8,1
1484,55,7
1485,308,43
1486,40,8
1487,22,5
1488,2,1
1489,14,2
1490,20,4
1491,390,58
1492,32,7
1493,24,5
1494,53,8
1495,632,91
1496,9,1
1497,78,10
1498,19,3
1499,14,2
1500,6,1
1501,7,1
1502,29,4
1503,23,4
1504,64,9
1505,41,6
1506,16,2
1507,199,25
1508,14,2
1509,20,5
1510,4,1
1511,267,40
1512,512,65
1513,45,7
1514,10,1
1515,14,2
1516,61,7
1517,58,7
1518,31,4
1519,23,4
1520,40,5
1521,6,1
1522,47,6
1523,13,2
1524,6,1
1525,22,3
1526,2,1
1527,21,3
1528,278,36
1529,185,27
1530,54,9
1531,54,7
1532,28,4
1533,192,28
1534,6,2
1535,141,22
1536,72,12
1537,306,39
1538,70,11
1539,25,5
1540,95,20
1541,6,2
1542,10,2
1543,8,1
1544,51,8
1545,10,2
1546,36,6
1547,54,9
1548,28,5
1549,19,4
1550,10,2
1551,432,57
1552,48,8
1553,12,2
1554,11,2
1555,274,42
1556,36,5
1557,303,43
1558,48,10
1559,12,2
1560,5,1
1561,41,6
1562,14,2
1563,4,1
1564,38,5
1565,354,45
1566,300,38
1567,36,5
1568,592,80
1569,5,1
1570,292,45
1571,18,2
1572,42,10
1573,102,14
1574,8,1
1575,262,33
1576,116,16
1577,385,59
1578,36,5
1579,8,1
1580,31,6
1581,6,1
1582,22,3
1583,122,17
1584,92,12
1585,137,17
1586,18,2
1587,45,7
1588,132,16
1589,54,9
1590,425,61
1591,49,8
1592,17,2
1593,730,88
1594,81,13
1595,22,3
1596,34,7
1597,1088,129
1598,18,2
1599,18,3
1600,5,2
1601,33,4
1602,73,13
1603,178,28
1604,169,23
1605,27,4
1606,74,18
1607,122,20
1608,16,2
1609,52,8
1610,70,11
1611,14,3
1612,55,8
1613,49,7
1614,14,2
1615,60,7
1616,192,25
1617,468,67
1618,35,7
1619,26,5
1620,53,6
1621,8,1
1622,191,26
1623,107,12
1624,55,10
1625,8,1
1626,13,3
1627,182,25
1628,76,14
1629,4,1
1630,128,24
1631,6,1
1632,148,24
1633,40,9
1634,41,9
1635,57,9
1636,123,21
1637,135,21
1638,25,5
1639,133,22
1640,59,12
1641,46,10
1642,30,7
1643,25,5
1644,12,4
1645,161,29
1646,14,3
1647,110,16
1648,8,1
1649,34,9
1650,55,7
1651,167,22
1652,31,8
1653,208,33
1654,175,25
1655,397,56
1656,695,92
1657,138,17
1658,18,4
1659,12,2
1660,61,8
1661,101,19
1662,213,30
1663,46,12
1664,118,21
1665,373,54
1666,281,43
1667,42,9
1668,166,26
1669,131,24
1670,157,29
1671,66,17
1672,122,18
1673,74,11
1674,6,1
1675,93,16
1676,2,1
1677,33,6
1678,15,2
1679,271,38
1680,161,29
1681,49,14
1682,16,2
1683,231,35
1684,114,23
1685,28,5
1686,34,6
1687,182,27
1688,37,6
1689,67,11
1690,8,1
1691,51,6
1692,19,3
1693,23,3
1694,54,8
1695,43,8
1696,8,2
1697,98,15
1698,16,3
1699,69,16
1700,6,1
1701,13,3
1702,88,13
1703,291,43
1704,41,9
1705,57,8
1706,44,8
1707,85,13
1708,12,3
1709,93,14
1710,9,3
